"Date","Site.Name","COUNTY","meanlatitude","meanlongitude","Month","Day","PM2.5","Ozone"
2018-01-06,"Millbrook School","Wake",35.856111,-78.574167,1,6,33,33
2018-01-06,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,6,17,NA
2018-01-06,"West Johnston Co.","Johnston",35.59095,-78.4622,1,6,29,NA
2018-01-07,"Bryson City","Swain",35.434767,-83.442133,1,7,54,NA
2018-01-07,"Castle Hayne","New Hanover",34.364167,-77.838611,1,7,9,NA
2018-01-07,"Clemmons Middle","Forsyth",36.026,-80.342,1,7,49,NA
2018-01-07,"Durham Armory","Durham",36.0329550008979,-78.904037,1,7,39,NA
2018-01-07,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,7,47,31
2018-01-07,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,7,28,NA
2018-01-07,"Leggett","Edgecombe",35.988278,-77.5843,1,7,15,NA
2018-01-07,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,7,38,NA
2018-01-07,"Millbrook School","Wake",35.856111,-78.574167,1,7,48,34
2018-01-07,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,7,18,NA
2018-01-07,"West Johnston Co.","Johnston",35.59095,-78.4622,1,7,27,NA
2018-01-08,"Bryson City","Swain",35.434767,-83.442133,1,8,71,NA
2018-01-08,"Castle Hayne","New Hanover",34.364167,-77.838611,1,8,11,NA
2018-01-08,"Clemmons Middle","Forsyth",36.026,-80.342,1,8,52,NA
2018-01-08,"Durham Armory","Durham",36.0329550008979,-78.904037,1,8,34.5,NA
2018-01-08,"Frying Pan Mountain","Haywood",35.379167,-82.7925,1,8,3,NA
2018-01-08,"Garinger High School","Mecklenburg",35.2401000008895,-80.785683,1,8,53,16
2018-01-08,"Hattie Avenue","Forsyth",36.110693332,-80.2264378,1,8,40,NA
2018-01-08,"Leggett","Edgecombe",35.988278,-77.5843,1,8,40,NA
2018-01-08,"Linville Falls","Avery",35.972347,-81.933072,1,8,22,NA
2018-01-08,"Mendenhall School","Guilford",36.1090060008986,-79.802314,1,8,44,NA
2018-01-08,"Millbrook School","Wake",35.856111,-78.574167,1,8,42.5,27
2018-01-08,"Pitt Agri. Center","Pitt",35.6412760008938,-77.360126,1,8,31,NA
